"v_year","v_quarter","grade_2","home_ownership","term","V1"
2016,1,"1","MORTGAGE"," 36 months",15875.2950167058
2015,4,"2","MORTGAGE"," 36 months",13340.3884795713
2014,3,"4","RENT"," 36 months",10254.3896155371
2010,1,"3","OWN"," 36 months",12679.4117647059
2012,3,"4","RENT"," 36 months",12425.9135200974
2010,1,"1","MORTGAGE"," 36 months",8123.27981651376
2010,1,"4","RENT"," 36 months",10653.2303370787
2010,2,"2","RENT"," 36 months",9570.21683673469
2015,2,"1","MORTGAGE"," 36 months",14996.4265850946
2015,1,"1","MORTGAGE"," 60 months",20162.8428927681
2010,3,"2","RENT"," 60 months",11333.2167832168
2015,4,"1","MORTGAGE"," 36 months",15470.4413892909
2015,1,"4","RENT"," 36 months",11051.2119908204
2010,2,"4","RENT"," 60 months",10174.5535714286
2010,1,"1","RENT"," 36 months",7151.21212121212
2016,1,"2","RENT"," 60 months",19300.5912674348
2016,1,"2","MORTGAGE"," 60 months",22084.9719101124
2011,2,"1","MORTGAGE"," 36 months",7912.284144427
2014,4,"1","RENT"," 36 months",12497.4669867947
2015,3,"2","MORTGAGE"," 60 months",20953.0296179064
2015,2,"2","RENT"," 36 months",11332.4210206561
2015,1,"6","RENT"," 60 months",20215.1639344262
2010,1,"3","RENT"," 36 months",10041.4310954064
2010,3,"2","RENT"," 36 months",8314.82919254658
2015,2,"3","RENT"," 36 months",10499.1579426491
2013,4,"4","RENT"," 36 months",9982.3746701847
2015,1,"4","MORTGAGE"," 60 months",20994.9629080119
2015,2,"2","MORTGAGE"," 36 months",13714.6762548038
2010,1,"2","RENT"," 36 months",10173.0434782609
2010,2,"1","RENT"," 36 months",7545.28301886792
2015,1,"1","RENT"," 36 months",13041.7625681405
2014,4,"1","MORTGAGE"," 36 months",14980.0971217921
2010,3,"3","RENT"," 36 months",7596.16724738676
2016,1,"3","RENT"," 36 months",11798.5110006444
2010,3,"2","MORTGAGE"," 36 months",11356.1827956989
2010,1,"2","MORTGAGE"," 36 months",12742.2945205479
2011,1,"4","MORTGAGE"," 36 months",14819.6153846154
2015,1,"1","MORTGAGE"," 36 months",15467.6974279436
2015,4,"2","RENT"," 36 months",11175.52167228
2010,4,"3","RENT"," 36 months",7724.81060606061
2015,1,"3","MORTGAGE"," 36 months",13358.233484456
2015,3,"5","MORTGAGE"," 60 months",21883.0333154218
2010,4,"2","RENT"," 36 months",7683.70786516854
2015,3,"3","RENT"," 36 months",10856.2506481385
2015,4,"5","RENT"," 36 months",10300.1919795222
2016,1,"3","MORTGAGE"," 36 months",14981.9344982336
2015,1,"4","OWN"," 36 months",11979.1617122473
2010,1,"3","MORTGAGE"," 36 months",12026.0204081633
2015,1,"2","MORTGAGE"," 36 months",14074.1055282873
